volum   potential
0       -68
2       -67
4       -65
6       -63
8       -61
10      -57
10.5    -56
11      -55
11.5    -54
12      -53
12.5    -51
13      -50
13.5    -48
14      -46
14.5    -45
15      -43
15.6    -41
16      -39
16.5    -36
17      -34
17.5    -31
18      -27
18.5    -23
19      -19
19.5    -11
19.7    -9
19.9    -5
20      -3
20.2    1
20.4    8
20.5    13
20.7    20
20.8    26
20.9    30
21      44
21.1    52
21.2    81
21.3    136
21.4    159
21.5    172
21.7    186
22.1    199
22.5    210
23.5    223
25      235
27      246
30.1    255
