dato,post ,Beskrivelse,sum
11.08.2017,L,Lånekassa,"kr 21 268,00"
14.08.2017,A,Seng,"-kr 1 329,00"
14.08.2017,A,Router,"-kr 99,00"
14.08.2017,A,Projektortign,"-kr 334,00"
14.08.2017,A,Sykkel,"-kr 3 119,00"
14.08.2017,L,Resterende,"kr 332,31"
14.08.2017,L,Vipps fra pappa,"kr 4 000,00"
14.08.2017,M,Milkshake,"-kr 35,00"
15.08.2017,A,Bankgebyr,"-kr 300,00"
15.08.2017,D,Butikkøl,"-kr 160,80"
15.08.2017,D,Uteøl,"-kr 162,00"
15.08.2017,D,Butikkøl,"-kr 162,00"
15.08.2017,L,Lønn,"kr 13 785,70"
15.08.2017,M,Mat go div,"-kr 379,80"
15.08.2017,M,Mat,"kr 79,12"
16.08.2017,A,Samfunnet,"-kr 1 300,00"
17.08.2017,D,Uteøl,"-kr 118,00"
17.08.2017,S,IT bøker og div,"-kr 957,00"
18.08.2017,D,Butikkøl,"-kr 76,80"
18.08.2017,M,Kaffe,"-kr 10,00"
18.08.2017,M,Mat,"-kr 132,40"
18.08.2017,S,Bøker,"-kr 150,00"
19.08.2017,A,Laken,"-kr 159,60"
19.08.2017,D,Butikkøl,"-kr 238,80"
19.08.2017,M,Smothie,"-kr 13,99"
21.08.2017,D,Uteøl,"-kr 223,00"
21.08.2017,D,Butikkøl,"-kr 175,99"
21.08.2017,M,Mat,"-kr 18,61"
21.08.2017,M,Mat,"-kr 102,70"
21.08.2017,S,Bøker,"-kr 908,00"
21.08.2017,S,Bøker,"-kr 143,00"
22.08.2017,A,Fretex-kler,"-kr 133,20"
22.08.2017,D,Uteøl,"-kr 49,00"
22.08.2017,D,Butikkøl,"-kr 28,80"
22.08.2017,D,Butikkøl,"-kr 28,80"
22.08.2017,D,Butikkøl,"-kr 39,00"
22.08.2017,D,Uteøl,"-kr 102,00"
22.08.2017,D,Uteøl,"-kr 49,00"
22.08.2017,M,Mat,"-kr 133,20"
22.08.2017,M,Mat,"-kr 43,00"
22.08.2017,S,Bøker,"-kr 300,00"
23.08.2017,D,Uteøl,"-kr 98,00"
23.08.2017,D,Uteøl,"-kr 70,00"
23.08.2017,D,Uteøl,"-kr 114,00"
23.08.2017,D,Nabla-Øl,"-kr 40,00"
24.08.2017,D,Butikkøl,"-kr 56,60"
24.08.2017,D,Styrkeprøve,"-kr 100,00"
