Dato	Post	Info	Beløp
2018-01-01	Inn	Fra før	kr 10 093,71
2018-01-02	Annet	Frisør	kr -410,00
2018-01-02	Mat	Mat	kr -113,00
2018-01-03	Annet	Bussbilett	kr -321,00
2018-01-04	Annet	Jakke	kr -601,00
2018-01-04	Annet	Bagasje	kr -275,00
2018-01-04	Mat	Mat	kr -89,00
2018-01-04	Inn	Bussbilett	kr 420,00
2018-01-05	Mat	Mat	kr -382,80
2018-01-05	Mat	Kaffe	kr -35,00
2018-01-05	Mat	Mat	kr -15,90
2018-01-05	Inn	Bussbilett	kr 160,00
2018-01-08	Annet	Gave	kr -720,00
2018-01-08	Mat	Mat	kr -644,40
2018-01-08	Husholdning	Div. Kjøkken	kr -487,30
2018-01-08	Lånekassa	Gaver	kr 2 450,00
2018-01-09	Annet	Gave	kr -720,00
2018-01-09	Mat	Café	kr -39,00
2018-01-09	Husholdning	Div. Kjøkken	kr 487,30
2018-01-10	Mat	Mat	kr -230,21
2018-01-11	Annet	Bankett	kr -550,00
2018-01-11	Mat	Mat	kr -11,00
2018-01-15	Skole	Semesteravg.	kr -550,00
2018-01-15	Annet	Ballonger	kr -334,04
2018-01-17	Lånekassa	Stipend	kr 21 268,00
2018-01-20	Mat	Mat	kr -107,00
2018-01-22	Husleie	Husleie	kr -5 100,37
2018-01-22	Inn	Gave	kr 850,00
2018-01-23	Mat	Mat	kr -62,00
2018-01-25	Annet	Bussbilett	kr -200,00
2018-01-25	Mat	Mat	kr -169,20
2018-01-25	Drikke	Uteøl	kr -32,00
2018-01-26	Skole	Bøker og div.	kr -821,00
2018-01-26	Mat	Mat	kr -359,51
2018-01-29	Mat	Mat	kr -62,80
2018-01-29	Mat	Mat	kr -52,91
2018-01-29	Mat	Kanelbolle	kr -20,00
2018-01-29	Annet	Ref. Bussb.	kr 160,00
